date,gini,alpha,top5_ratio,hhi,cr10,stock_count
2000-01-04,0.6775152931582685,1.4267633751790507,51.588769530492876,0.005217657775249648,0.15469487424133885,1014
2000-01-05,0.6701426117164078,1.4298197398183072,56.20830156459655,0.005793586997170809,0.16508656249752277,1019
2000-01-06,0.6529493727682762,1.4393249789749383,44.01488635166698,0.00466370302621868,0.14307963413373823,1017
2000-01-07,0.6209522705481144,1.3469633096476001,37.0995756999673,0.004049216247435551,0.13872460659095925,1028
2000-01-10,0.6101740637580284,1.34961188499331,32.3730379366758,0.0037287541798993267,0.12701272419079696,1019
2000-01-11,0.6366818166274265,1.437089056034495,36.8496334949335,0.004140736648405136,0.12743128312979346,1016
2000-01-12,0.6737946693593623,1.474745737509847,64.77016804786388,0.006388695982599958,0.1850899971284884,1021
2000-01-13,0.6831835417355533,1.4476055073217164,73.95682901923588,0.007890185880094304,0.2059812623328827,1022
2000-01-14,0.663974553270599,1.4423330893155824,66.16652255211919,0.00640883912087467,0.18730173836621503,1024
2000-01-17,0.6608752837480425,1.4587693540146691,44.276918413407266,0.004401570587843934,0.13622397481728662,1016
2000-01-18,0.6749880230604852,1.482832021408225,60.23925029044413,0.005453848199739648,0.1664058081135972,1016
2000-01-19,0.6561503636152064,1.4708084159109824,38.74235126801195,0.0039056498685805796,0.11929740337643223,1023
2000-01-20,0.6705505730431072,1.4607355741320518,78.23959125118245,0.008969448799593951,0.1940676563147125,1021
2000-01-21,0.6469864746610746,1.4823258937680688,38.02321679471782,0.003992303480843627,0.1232897947403437,1022
2000-01-24,0.6337043368437597,1.4947571340579946,41.82643820363212,0.004227795210385592,0.13666847809340596,1024
2000-01-25,0.6420586694788961,1.466582282139116,41.91003205860985,0.004297426333069209,0.1364483665429449,1025
2000-01-26,0.6402718323779184,1.4378827331286819,31.442202010437274,0.003836567735965967,0.12189196071831385,1024
2000-01-27,0.6290713484130392,1.3650953672785664,34.72952095481455,0.0037954172352206304,0.12276249988299066,1030
2000-01-28,0.6309086783753475,1.413661015679745,33.14244993588908,0.0036202327567146832,0.11485500390006485,1031
2000-02-14,0.5380037278030629,1.2067091845763067,16.197167308428938,0.002460348138070254,0.07979790386581559,1024
2000-02-15,0.5534755984052585,1.2935241631441496,18.242707055240842,0.0025421098154132056,0.0840252958788544,1024
2000-02-16,0.6015251037211653,1.4161287870790606,29.307777408008654,0.003387390869800922,0.10787282853587203,1028
2000-02-17,0.6052998680775664,1.4295952367470341,32.67952248448523,0.003931435669813806,0.1270781939748226,1028
2000-02-18,0.6495786491429353,1.4607771553728472,52.64963880792737,0.005755415384059091,0.1602373007904671,1023
2000-02-21,0.6088482778209751,1.372680002293823,37.00829863246664,0.0041616642028956576,0.14090988160775997,1027
